date,ticker,best_model,strategy_score,action,ret_1d,ret_5d,ret_20d,result_5d,pred_ARIMAModel,pred_LGBMRegressor,pred_LSTM,pred_RandomForestRegressor,pred_Ridge,pred_XGBRegressor
2026-03-21,ASML,ARIMAModel,4.1,BUY,N/D,N/D,N/D,Pendiente,SUBE,SUBE,-,SUBE,SUBE,SUBE
2026-03-21,AVGO,ARIMAModel,4.1,BUY,N/D,N/D,N/D,Pendiente,SUBE,SUBE,-,SUBE,BAJA,SUBE
2026-03-21,BRK-B,ARIMAModel,4.1,BUY,N/D,N/D,N/D,Pendiente,SUBE,SUBE,-,SUBE,SUBE,SUBE
2026-03-21,GOOGL,ARIMAModel,4.1,BUY,N/D,N/D,N/D,Pendiente,SUBE,SUBE,-,SUBE,SUBE,SUBE
2026-03-21,JNJ,ARIMAModel,4.1,BUY,N/D,N/D,N/D,Pendiente,SUBE,SUBE,-,SUBE,SUBE,SUBE
2026-03-21,JPM,ARIMAModel,4.1,BUY,N/D,N/D,N/D,Pendiente,SUBE,SUBE,-,SUBE,SUBE,SUBE
2026-03-21,META,ARIMAModel,4.1,BUY,N/D,N/D,N/D,Pendiente,SUBE,SUBE,-,SUBE,SUBE,SUBE
2026-03-21,MSFT,ARIMAModel,4.1,BUY,N/D,N/D,N/D,Pendiente,SUBE,BAJA,-,SUBE,SUBE,SUBE
2026-03-21,NVDA,ARIMAModel,4.1,BUY,N/D,N/D,N/D,Pendiente,SUBE,SUBE,-,SUBE,SUBE,SUBE
2026-03-21,PLTR,ARIMAModel,4.1,BUY,N/D,N/D,N/D,Pendiente,SUBE,SUBE,-,SUBE,SUBE,SUBE
2026-03-21,TSLA,ARIMAModel,4.1,BUY,N/D,N/D,N/D,Pendiente,SUBE,BAJA,-,SUBE,SUBE,BAJA
2026-03-21,UNH,ARIMAModel,4.1,BUY,N/D,N/D,N/D,Pendiente,SUBE,SUBE,-,SUBE,SUBE,SUBE
2026-03-21,COST,ARIMAModel,2.1,HOLD,N/D,N/D,N/D,Pendiente,SUBE,SUBE,-,SUBE,BAJA,SUBE
2026-03-21,LLY,ARIMAModel,2.1,HOLD,N/D,N/D,N/D,Pendiente,SUBE,SUBE,-,SUBE,SUBE,BAJA
2026-03-21,ORCL,ARIMAModel,2.1,HOLD,N/D,N/D,N/D,Pendiente,SUBE,SUBE,-,SUBE,BAJA,SUBE
2026-03-21,AMD,ARIMAModel,1.9,HOLD,N/D,N/D,N/D,Pendiente,SUBE,BAJA,-,SUBE,SUBE,BAJA
2026-03-21,CRM,ARIMAModel,1.7,HOLD,N/D,N/D,N/D,Pendiente,BAJA,SUBE,-,SUBE,SUBE,SUBE
2026-03-21,MA,ARIMAModel,1.7,HOLD,N/D,N/D,N/D,Pendiente,BAJA,SUBE,-,SUBE,SUBE,SUBE
2026-03-21,PG,ARIMAModel,1.7,HOLD,N/D,N/D,N/D,Pendiente,BAJA,SUBE,-,SUBE,BAJA,SUBE
2026-03-21,V,ARIMAModel,1.7,HOLD,N/D,N/D,N/D,Pendiente,BAJA,SUBE,-,SUBE,SUBE,SUBE
2026-03-21,CAT,ARIMAModel,-0.1,HOLD,N/D,N/D,N/D,Pendiente,SUBE,SUBE,-,BAJA,SUBE,BAJA
2026-03-21,MRK,ARIMAModel,-1.7,HOLD,N/D,N/D,N/D,Pendiente,SUBE,SUBE,-,BAJA,BAJA,BAJA
2026-03-21,NEE,ARIMAModel,-1.7,HOLD,N/D,N/D,N/D,Pendiente,SUBE,BAJA,-,BAJA,BAJA,BAJA
2026-03-21,WMT,ARIMAModel,-1.7,HOLD,N/D,N/D,N/D,Pendiente,SUBE,BAJA,-,BAJA,BAJA,BAJA
2026-03-21,XOM,ARIMAModel,-1.7,HOLD,N/D,N/D,N/D,Pendiente,SUBE,BAJA,-,BAJA,BAJA,BAJA
2026-03-21,MCD,ARIMAModel,-2.1,SELL,N/D,N/D,N/D,Pendiente,BAJA,BAJA,-,BAJA,SUBE,SUBE
2026-03-21,TSM,ARIMAModel,-2.1,SELL,N/D,N/D,N/D,Pendiente,BAJA,BAJA,-,SUBE,SUBE,BAJA
2026-03-21,AAPL,ARIMAModel,-4.1,SELL,N/D,N/D,N/D,Pendiente,BAJA,BAJA,-,SUBE,BAJA,SUBE
2026-03-21,AMZN,ARIMAModel,-4.1,SELL,N/D,N/D,N/D,Pendiente,BAJA,BAJA,-,SUBE,BAJA,BAJA
2026-03-21,LMT,ARIMAModel,-4.1,SELL,N/D,N/D,N/D,Pendiente,BAJA,BAJA,-,BAJA,BAJA,BAJA
2026-03-06,ASML,ARIMAModel,4.1,BUY,-3.74%,N/D,N/D,Pendiente,SUBE,SUBE,-,SUBE,SUBE,SUBE
2026-03-06,GOOGL,ARIMAModel,4.1,BUY,0.04%,N/D,N/D,Pendiente,SUBE,SUBE,-,SUBE,SUBE,SUBE
2026-03-06,JNJ,ARIMAModel,4.1,BUY,-1.78%,N/D,N/D,Pendiente,SUBE,SUBE,-,SUBE,SUBE,SUBE
2026-03-06,META,ARIMAModel,4.1,BUY,-10.13%,N/D,N/D,Pendiente,SUBE,SUBE,-,BAJA,SUBE,SUBE
2026-03-06,MSFT,ARIMAModel,4.1,BUY,-7.02%,N/D,N/D,Pendiente,SUBE,SUBE,-,SUBE,SUBE,SUBE
2026-03-06,PLTR,ARIMAModel,4.1,BUY,-1.30%,N/D,N/D,Pendiente,SUBE,SUBE,-,SUBE,SUBE,SUBE
