ticker,model,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score
BIMBOA.MX,Top3Ensamble,0.3725,0.2202,0.4693,0.0074,-3.9937,-2.1461,0.3333
BIMBOA.MX,arima,0.495,0.2488,0.4988,0.0098,-4.6416,-4.5561,0.3333
BIMBOA.MX,lgbm,0.2959,0.1715,0.4141,0.0059,-2.8884,-0.985,0.3333
BIMBOA.MX,xgb,0.5052,0.3619,0.6016,0.0101,-7.2057,-1.4184,0.3333
CEMEXCPO.MX,Top3Ensamble,0.424,0.3287,0.5734,0.0292,-1.107,0.0451,0.3333
CEMEXCPO.MX,arima,0.4149,0.309,0.5559,0.0286,-0.9807,0.1226,0.3333
CEMEXCPO.MX,lgbm,0.3688,0.2601,0.51,0.0254,-0.6673,0.1281,0.3333
CEMEXCPO.MX,linreg,0.5048,0.4305,0.6561,0.0349,-1.7589,-0.126,0.3333
EEM,Top3Ensamble,0.321,0.1065,0.3263,0.0065,-4.4338,0.8248,0.1667
EEM,arima,0.2427,0.0595,0.244,0.0049,-2.0374,0.9681,0.1667
EEM,lgbm,0.3519,0.1387,0.3725,0.0072,-6.0779,0.2405,0.3333
EEM,rf,0.3685,0.1366,0.3696,0.0075,-5.9706,0.9578,0.1667
GFNORTEO.MX,Top3Ensamble,1.3869,2.12,1.456,0.0085,-2.2715,-1.9682,0.8333
GFNORTEO.MX,arima,1.495,2.2374,1.4958,0.0091,-2.4526,-2.449,0.8333
GFNORTEO.MX,lgbm,1.2297,2.8826,1.6978,0.0075,-3.4483,-1.1149,0.8333
GFNORTEO.MX,lstm,1.495,2.2377,1.4959,0.0091,-2.4531,-2.449,0.8333
GLD,Top3Ensamble,1.5413,2.642,1.6254,0.005,-22.5412,-20.1682,0.8333
GLD,arima,1.1,1.21,1.1,0.0036,-9.7816,-9.7816,0.8333
GLD,lgbm,1.9826,4.9922,2.2343,0.0064,-43.4821,-34.0255,0.8333
IEF,Top3Ensamble,0.2466,0.0609,0.2468,0.0026,-269.835,-269.1989,0.3333
IEF,lgbm,0.2616,0.0697,0.264,0.0028,-308.7387,-303.2013,0.3333
IEF,rf,0.1656,0.0282,0.168,0.0018,-124.3911,-120.9064,0.3333
IEF,xgb,0.3124,0.0984,0.3136,0.0033,-436.2565,-432.9178,0.3333
QQQ,Top3Ensamble,3.4255,17.0016,4.1233,0.0061,-2.3435,-0.0359,0.8333
QQQ,arima,2.4609,9.9371,3.1523,0.0044,-0.9542,0.2368,0.8333
QQQ,lgbm,3.3927,20.3032,4.5059,0.006,-2.9927,-0.7292,0.8333
QQQ,xgb,4.423,23.365,4.8337,0.0079,-3.5948,0.2523,0.8333
SPY,Top3Ensamble,3.6216,13.6059,3.6886,0.0058,-2.7296,0.8657,0.6667
SPY,arima,2.7309,8.2146,2.8661,0.0044,-1.2517,0.7925,0.6667
SPY,lgbm,3.4,11.9401,3.4555,0.0054,-2.273,0.8958,0.6667
SPY,xgb,4.7339,22.7861,4.7735,0.0076,-5.246,0.8968,0.6667
VNQ,Top3Ensamble,0.3841,0.2588,0.5088,0.0043,-102.5363,-58.0286,0.3333
VNQ,lgbm,0.5119,0.3482,0.5901,0.0057,-138.2775,-33.4419,0.3333
VNQ,rf,0.4888,0.2986,0.5464,0.0054,-118.4253,-94.5697,0.3333
VNQ,xgb,0.3702,0.1969,0.4437,0.0041,-77.7468,-53.8242,0.3333
WALMEX.MX,Top3Ensamble,2.1291,7.5117,2.7407,0.0396,-1.0699,0.1792,0.8333
WALMEX.MX,arima,1.962,6.8598,2.6191,0.0365,-0.8903,0.1705,0.8333
WALMEX.MX,linreg,2.1733,7.6101,2.7586,0.0403,-1.097,0.2045,0.8333
WALMEX.MX,rf,2.2519,8.1112,2.848,0.0418,-1.2351,0.1623,0.8333
