ticker,model,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score
BIMBOA.MX,Top3Ensamble,1.1082,2.4216,1.5562,0.0212,0.4123,0.4411,0.8333
BIMBOA.MX,arima,1.1852,2.7692,1.6641,0.0226,0.3279,0.4011,0.8333
BIMBOA.MX,lgbm,1.1129,2.236,1.4953,0.0213,0.4573,0.4718,0.8333
BIMBOA.MX,xgb,1.0264,2.412,1.5531,0.0196,0.4146,0.4285,0.8333
CEMEXCPO.MX,Top3Ensamble,0.3567,0.1701,0.4124,0.024,0.5235,0.7785,0.1667
CEMEXCPO.MX,arima,0.2771,0.125,0.3535,0.0187,0.6498,0.7726,0.1667
CEMEXCPO.MX,lgbm,0.2469,0.1076,0.328,0.0167,0.6985,0.7809,0.1667
CEMEXCPO.MX,linreg,0.5497,0.3816,0.6177,0.0367,-0.0692,0.7006,0.1667
EEM,Top3Ensamble,0.2378,0.0855,0.2924,0.0048,0.0205,0.2061,0.3333
EEM,arima,0.2453,0.0767,0.2769,0.005,0.1219,0.1433,0.3333
EEM,lgbm,0.2423,0.0959,0.3096,0.0049,-0.0978,0.2864,0.3333
EEM,rf,0.2656,0.1008,0.3174,0.0054,-0.1541,0.1224,0.3333
GFNORTEO.MX,Top3Ensamble,2.2163,8.3361,2.8872,0.0134,0.205,0.2208,0.8333
GFNORTEO.MX,arima,2.3889,8.4549,2.9077,0.0145,0.1936,0.1982,0.8333
GFNORTEO.MX,lgbm,1.9958,9.2908,3.0481,0.012,0.1139,0.1622,0.8333
GFNORTEO.MX,lstm,2.2657,8.1349,2.8522,0.0137,0.3083,0.3458,0.8333
GLD,Top3Ensamble,2.4579,7.4189,2.7238,0.0079,0.2655,0.3117,0.8333
GLD,arima,2.4258,7.6388,2.7638,0.0078,0.2438,0.2769,0.8333
GLD,lgbm,2.49,7.603,2.7573,0.008,0.2473,0.3088,0.8333
IEF,Top3Ensamble,0.2746,0.0791,0.2812,0.0029,-0.1496,-0.1366,0.3333
IEF,lgbm,0.3035,0.0968,0.3111,0.0032,-0.4071,-0.3526,0.3333
IEF,rf,0.2353,0.0624,0.2498,0.0025,0.093,0.0934,0.3333
IEF,xgb,0.2851,0.0872,0.2954,0.003,-0.2685,-0.2607,0.3333
QQQ,Top3Ensamble,3.2431,13.5793,3.685,0.0057,-0.4639,0.4631,0.8333
QQQ,arima,1.9938,5.4642,2.3376,0.0035,0.411,0.5636,0.8333
QQQ,lgbm,4.4406,28.0627,5.2974,0.0079,-2.0252,0.0873,0.8333
QQQ,xgb,3.5547,15.9628,3.9954,0.0063,-0.7208,0.3697,0.8333
SPY,Top3Ensamble,2.1179,8.3226,2.8849,0.0034,0.5602,0.7641,0.6667
SPY,arima,1.6912,5.5973,2.3659,0.0027,0.7042,0.8116,0.5
SPY,lgbm,2.3262,8.5539,2.9247,0.0037,0.548,0.6671,0.8333
SPY,xgb,2.9661,12.7751,3.5742,0.0047,0.325,0.7898,0.6667
VNQ,Top3Ensamble,0.5657,0.5791,0.761,0.0062,0.318,0.3709,0.3333
VNQ,lgbm,0.6671,0.6759,0.8222,0.0073,0.2039,0.3875,0.3333
VNQ,rf,0.5202,0.5838,0.7641,0.0057,0.3124,0.3156,0.3333
VNQ,xgb,0.5584,0.5542,0.7444,0.0061,0.3473,0.3894,0.3333
WALMEX.MX,Top3Ensamble,1.2571,3.3679,1.8352,0.0237,0.0374,0.1297,0.8333
WALMEX.MX,arima,1.3254,3.2816,1.8115,0.0249,0.0621,0.0669,0.8333
WALMEX.MX,linreg,1.4408,4.1646,2.0407,0.0274,-0.1903,0.1735,0.8333
WALMEX.MX,rf,1.3085,3.5746,1.8906,0.0246,-0.0217,0.0353,0.8333
