ticker,model,regime_type,regime,MAE,MSE,RMSE,MAPE,R2,EVS,drift_score,total_regimes,failed_regimes,regime_only_failure
AAPL,_NaiveModel,high_vol_regime,high_vol_regime,5.5545,35.5175,5.9597,0.0205,-0.3642,-0.2328,0.8333,5,5,False
AAPL,_NaiveModel,high_vol_regime,normal_vol_regime,1.2567,2.5763,1.6051,0.0046,0.8956,0.8967,0.5,5,5,False
AMD,_NaiveModel,high_vol_regime,high_vol_regime,14.3685,303.6218,17.4247,0.045,0.7688,0.8075,0.5,5,5,False
AMD,_NaiveModel,high_vol_regime,normal_vol_regime,1.0,1.7569,1.3255,0.0033,0.9903,0.9958,0.3333,5,5,False
AMZN,_NaiveModel,high_vol_regime,high_vol_regime,5.6367,38.0345,6.1672,0.0217,0.3622,0.895,0.6667,5,5,False
AMZN,_NaiveModel,high_vol_regime,normal_vol_regime,1.4533,2.7464,1.6572,0.0057,0.9219,0.9228,0.5,5,5,False
ASML,_NaiveModel,high_vol_regime,high_vol_regime,36.1158,1546.0395,39.3197,0.0252,-0.0613,-0.0171,0.8333,5,5,False
ASML,_NaiveModel,high_vol_regime,normal_vol_regime,12.2666,156.1009,12.494,0.0086,0.6322,0.7148,0.6667,5,5,False
AVGO,_NaiveModel,high_vol_regime,high_vol_regime,11.5188,165.2247,12.854,0.0282,-1.0385,-0.8408,0.8333,5,5,False
AVGO,_NaiveModel,high_vol_regime,normal_vol_regime,2.7514,8.784,2.9638,0.0067,0.959,0.9611,0.5,5,5,False
BRK-B,_NaiveModel,high_vol_regime,normal_vol_regime,2.7807,9.9465,3.1538,0.0059,0.1584,0.2096,0.8333,4,4,False
CAT,_NaiveModel,high_vol_regime,high_vol_regime,29.7183,1418.2244,37.6593,0.0351,0.1988,0.2956,0.8333,5,5,False
CAT,_NaiveModel,high_vol_regime,normal_vol_regime,3.7711,20.7623,4.5566,0.0047,0.9787,0.979,0.5,5,5,False
COST,_NaiveModel,high_vol_regime,high_vol_regime,13.8934,194.9944,13.964,0.0138,-2.5759,-2.0926,0.8333,5,5,False
COST,_NaiveModel,high_vol_regime,normal_vol_regime,4.7583,32.1177,5.6673,0.0048,0.78,0.793,0.5,5,5,False
CRM,_NaiveModel,high_vol_regime,high_vol_regime,5.7878,50.228,7.0872,0.0324,-1.1295,-1.0801,0.8333,5,5,False
CRM,_NaiveModel,high_vol_regime,normal_vol_regime,1.0283,1.3162,1.1473,0.0057,0.9479,0.9575,0.5,5,5,False
GOOGL,_NaiveModel,high_vol_regime,high_vol_regime,9.3556,173.2297,13.1617,0.0262,0.2508,0.4793,0.8333,5,5,False
