ticker,model,pred,real,pred_delta,real_delta,pred_inc,real_inc,direction,Predicted,MAE,MSE,RMSE,MAPE,R2,EVS
BIMBOA.MX,lgbm,54.94435174091945,54.7400016784668,-0.6456484116684393,-0.8499984741210938,-0.011614470406479794,-0.015290492386903215,True,2025-07-31,0.2044,0.0418,0.2044,0.0037,,1.0
BIMBOA.MX,arima,55.61642084345316,54.7400016784668,0.026420690865272434,-0.8499984741210938,0.0004752777620570391,-0.015290492386903215,False,2025-07-31,0.8764,0.7681,0.8764,0.016,,1.0
BIMBOA.MX,xgb,54.93048244714737,54.7400016784668,-0.6595177054405212,-0.8499984741210938,-0.011863963008278902,-0.015290492386903215,True,2025-07-31,0.1905,0.0363,0.1905,0.0035,,1.0
BIMBOA.MX,Top3Ensamble,55.16375167717333,54.7400016784668,-0.42624847541456035,-0.8499984741210938,-0.00766771855090051,-0.015290492386903215,True,2025-07-31,0.4237,0.1796,0.4237,0.0077,,1.0
CEMEXCPO.MX,arima,16.065099021080858,16.469999313354492,-0.02490113150703266,0.37999916076660156,-0.001547615367985413,0.023617101128832686,False,2025-07-31,0.4049,0.1639,0.4049,0.0246,,1.0
CEMEXCPO.MX,linreg,15.870413179298556,16.469999313354492,-0.21958697328933496,0.37999916076660156,-0.013647418968732386,0.023617101128832686,False,2025-07-31,0.5996,0.3595,0.5996,0.0364,,1.0
CEMEXCPO.MX,lgbm,16.03418945766966,16.469999313354492,-0.055810694918228876,0.37999916076660156,-0.0034686572025452948,0.023617101128832686,False,2025-07-31,0.4358,0.1899,0.4358,0.0265,,1.0
CEMEXCPO.MX,Top3Ensamble,15.989900552683023,16.469999313354492,-0.10009959990486728,0.37999916076660156,-0.006221230513087808,0.023617101128832686,False,2025-07-31,0.4801,0.2305,0.4801,0.0291,,1.0
EEM,rf,48.69383397320524,48.560001373291016,-0.14616617938265364,-0.279998779296875,-0.0029927555062652616,-0.005732980721173046,True,2025-07-31,0.1338,0.0179,0.1338,0.0028,,1.0
EEM,arima,48.85228884714533,48.560001373291016,0.012288694557440749,-0.279998779296875,0.000251611271888778,-0.005732980721173046,False,2025-07-31,0.2923,0.0854,0.2923,0.006,,1.0
EEM,lgbm,48.3590577305912,48.560001373291016,-0.48094242199668713,-0.279998779296875,-0.009847305906922758,-0.005732980721173046,True,2025-07-31,0.2009,0.0404,0.2009,0.0041,,1.0
EEM,Top3Ensamble,48.635060183647255,48.560001373291016,-0.2049399689406357,-0.279998779296875,-0.0041961500470997955,-0.005732980721173046,True,2025-07-31,0.0751,0.0056,0.0751,0.0015,,1.0
GFNORTEO.MX,lgbm,166.54284102416673,168.1199951171875,-0.6271571447785789,0.9499969482421875,-0.00375161303851162,0.005682819636583963,False,2025-07-31,1.5772,2.4874,1.5772,0.0094,,1.0
GFNORTEO.MX,arima,167.42338083841443,168.1199951171875,0.2533826694691186,0.9499969482421875,0.0015157185634054086,0.005682819636583963,True,2025-07-31,0.6966,0.4853,0.6966,0.0041,,1.0
GFNORTEO.MX,Top3Ensamble,166.98311093129058,168.1199951171875,-0.18688723765473014,0.9499969482421875,-0.0011179472375531057,0.005682819636583963,False,2025-07-31,1.1369,1.2925,1.1369,0.0068,,1.0
GLD,arima,301.39191376737824,302.9599914550781,0.4319223123001166,2.0,0.0014351486063375507,0.006645401570921176,True,2025-07-31,1.5681,2.4589,1.5681,0.0052,,1.0
GLD,lgbm,302.8706524962495,302.9599914550781,1.9106610411713518,2.0,0.006348554942248996,0.006645401570921176,True,2025-07-31,0.0893,0.008,0.0893,0.0003,,1.0
GLD,Top3Ensamble,302.13128313181386,302.9599914550781,1.1712916767357342,2.0,0.0038918517742932736,0.006645401570921176,True,2025-07-31,0.8287,0.6868,0.8287,0.0027,,1.0
IEF,lgbm,94.68874665732676,94.9000015258789,-0.13125303749745854,0.0800018310546875,-0.0013842336840317773,0.0008437231735095062,False,2025-07-31,0.2113,0.0446,0.2113,0.0022,,1.0
IEF,rf,94.87471198739604,94.9000015258789,0.05471229257182131,0.0800018310546875,0.0005770121572232804,0.0008437231735095062,True,2025-07-31,0.0253,0.0006,0.0253,0.0003,,1.0
IEF,xgb,94.87557236850262,94.9000015258789,0.05557267367839813,0.0800018310546875,0.0005860859930105187,0.0008437231735095062,True,2025-07-31,0.0244,0.0006,0.0244,0.0003,,1.0
IEF,Top3Ensamble,94.8130103377418,94.9000015258789,-0.006989357082417769,0.0800018310546875,-7.371184459937606e-05,0.0008437231735095062,False,2025-07-31,0.087,0.0076,0.087,0.0009,,1.0
QQQ,arima,568.0990887878864,565.010009765625,0.07906925663644415,-3.010009765625,0.00013920153149125778,-0.005299126196483295,False,2025-07-31,3.0891,9.5424,3.0891,0.0055,,1.0
QQQ,lgbm,561.3133257987822,565.010009765625,-6.706693732467784,-3.010009765625,-0.011807143237666838,-0.005299126196483295,True,2025-07-31,3.6967,13.6655,3.6967,0.0065,,1.0
QQQ,xgb,565.1586067676544,565.010009765625,-2.861412763595581,-3.010009765625,-0.005037520976737614,-0.005299126196483295,True,2025-07-31,0.1486,0.0221,0.1486,0.0003,,1.0
QQQ,Top3Ensamble,564.8570071181076,565.010009765625,-3.1630124131423827,-3.010009765625,-0.005568487560971198,-0.005299126196483295,True,2025-07-31,0.153,0.0234,0.153,0.0003,,1.0
SPY,lgbm,633.5237841553039,632.0800170898438,-0.9362378173523211,-2.3800048828125,-0.0014756450917764378,-0.003751229077306738,True,2025-07-31,1.4438,2.0845,1.4438,0.0023,,1.0
SPY,arima,634.6791397067155,632.0800170898438,0.2191177340592958,-2.3800048828125,0.0003453609785814673,-0.003751229077306738,False,2025-07-31,2.5991,6.7554,2.5991,0.0041,,1.0
SPY,xgb,633.2027574777603,632.0800170898438,-1.257264494895935,-2.3800048828125,-0.00198162918285515,-0.003751229077306738,True,2025-07-31,1.1227,1.2605,1.1227,0.0018,,1.0
SPY,Top3Ensamble,633.8018937799266,632.0800170898438,-0.6581281927296914,-2.3800048828125,-0.0010373044320167665,-0.003751229077306738,True,2025-07-31,1.7219,2.9649,1.7219,0.0027,,1.0
VNQ,rf,90.45826715805757,89.13999938964844,0.04826349594819135,-1.2700042724609375,0.0005338291559921534,-0.014047165369081755,False,2025-07-31,1.3183,1.7378,1.3183,0.0148,,1.0
VNQ,xgb,90.24768522381784,89.13999938964844,-0.16231843829153547,-1.2700042724609375,-0.001795359271283414,-0.014047165369081755,True,2025-07-31,1.1077,1.227,1.1077,0.0124,,1.0
VNQ,lgbm,89.94693892521967,89.13999938964844,-0.46306473688970584,-1.2700042724609375,-0.005121830750282065,-0.014047165369081755,True,2025-07-31,0.8069,0.6512,0.8069,0.0091,,1.0
VNQ,Top3Ensamble,90.21763043569835,89.13999938964844,-0.1923732264110214,-1.2700042724609375,-0.0021277869551911605,-0.014047165369081755,True,2025-07-31,1.0776,1.1613,1.0776,0.0121,,1.0
