ticker,model,pred,real,timestamp,pred_delta,real_delta,pred_inc,real_inc,direction,Predicted,is_earnings_day,is_macro_day,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,276.8299865722656,284.17999267578125,2026-05-05 00:00:00,0.0,7.350006103515625,0.0,0.026550613950909283,False,2026-05-05,False,False,7.35,54.0226,7.35,0.0259,,1.0
AMD,_NaiveModel,341.5400085449219,355.260009765625,2026-05-05 00:00:00,0.0,13.720001220703125,0.0,0.0401709927898493,False,2026-05-05,False,False,13.72,188.2384,13.72,0.0386,,1.0
AMZN,_NaiveModel,272.04998779296875,273.54998779296875,2026-05-05 00:00:00,0.0,1.5,0.0,0.005513692583370033,False,2026-05-05,False,False,1.5,2.25,1.5,0.0055,,1.0
ASML,_NaiveModel,1386.2099609375,1442.9200439453125,2026-05-05 00:00:00,0.0,56.7100830078125,0.0,0.04091016844912817,False,2026-05-05,False,False,56.7101,3216.0335,56.7101,0.0393,,1.0
AVGO,_NaiveModel,416.5,427.3599853515625,2026-05-05 00:00:00,0.0,10.8599853515625,0.0,0.026074394601590636,False,2026-05-05,False,False,10.86,117.9393,10.86,0.0254,,1.0
BRK-B,_NaiveModel,468.5199890136719,465.5199890136719,2026-05-05 00:00:00,0.0,-3.0,0.0,-0.006403141958394558,False,2026-05-05,False,False,3.0,9.0,3.0,0.0064,,1.0
CAT,_NaiveModel,874.780029296875,904.5900268554688,2026-05-05 00:00:00,0.0,29.80999755859375,0.0,0.03407713546290515,False,2026-05-05,False,False,29.81,888.636,29.81,0.033,,1.0
COST,_NaiveModel,1012.7899780273438,1016.4199829101562,2026-05-05 00:00:00,0.0,3.6300048828125,0.0,0.0035841635102697427,False,2026-05-05,False,False,3.63,13.1769,3.63,0.0036,,1.0
CRM,_NaiveModel,185.47999572753903,186.9900054931641,2026-05-05 00:00:00,0.0,1.5100097656250568,0.0,0.008141092303254022,False,2026-05-05,False,False,1.51,2.2801,1.51,0.0081,,1.0
GOOGL,_NaiveModel,383.25,388.4299926757813,2026-05-05 00:00:00,0.0,5.179992675781307,0.0,0.013515962624347833,False,2026-05-05,False,False,5.18,26.8323,5.18,0.0133,,1.0
