ticker,model,session,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,after_hours,1,2.02,4.0805,2.02,0.0067,,1.0
AMD,_NaiveModel,after_hours,1,25.6,655.3603,25.6,0.0604,,1.0
AMZN,_NaiveModel,after_hours,1,3.08,9.4863,3.08,0.0117,,1.0
ASML,_NaiveModel,after_hours,1,82.7,6839.2819,82.7,0.0551,,1.0
AVGO,_NaiveModel,after_hours,1,14.6,213.1602,14.6,0.0343,,1.0
BRK-B,_NaiveModel,after_hours,1,1.36,1.8496,1.36,0.0028,,1.0
CAT,_NaiveModel,after_hours,1,31.91,1018.2464,31.91,0.0359,,1.0
COST,_NaiveModel,after_hours,1,7.7,59.2892,7.7,0.0073,,1.0
CRM,_NaiveModel,after_hours,1,5.93,35.1648,5.93,0.0342,,1.0
GOOGL,_NaiveModel,after_hours,1,4.29,18.4042,4.29,0.0108,,1.0
JNJ,_NaiveModel,after_hours,1,4.09,16.7281,4.09,0.018,,1.0
JPM,_NaiveModel,after_hours,1,2.1,4.41,2.1,0.0071,,1.0
LLY,_NaiveModel,after_hours,1,1.78,3.1685,1.78,0.0018,,1.0
LMT,_NaiveModel,after_hours,1,4.4,19.3597,4.4,0.0085,,1.0
MA,_NaiveModel,after_hours,1,4.26,18.1477,4.26,0.0086,,1.0
MCD,_NaiveModel,after_hours,1,1.42,2.0164,1.42,0.0051,,1.0
META,_NaiveModel,after_hours,1,4.2,17.6401,4.2,0.0068,,1.0
MRK,_NaiveModel,after_hours,1,2.03,4.1209,2.03,0.0182,,1.0
MSFT,_NaiveModel,after_hours,1,12.49,156.0006,12.49,0.0296,,1.0
NEE,_NaiveModel,after_hours,1,2.32,5.3824,2.32,0.0249,,1.0
NVDA,_NaiveModel,after_hours,1,10.42,108.5764,10.42,0.0462,,1.0
ORCL,_NaiveModel,after_hours,1,2.66,7.0756,2.66,0.0138,,1.0
PG,_NaiveModel,after_hours,1,1.14,1.2996,1.14,0.0081,,1.0
PLTR,_NaiveModel,after_hours,1,0.26,0.0676,0.26,0.0019,,1.0
TSLA,_NaiveModel,after_hours,1,21.06,443.5235,21.06,0.0499,,1.0
TSM,_NaiveModel,after_hours,1,13.37,178.7568,13.37,0.0331,,1.0
UNH,_NaiveModel,after_hours,1,5.24,27.4575,5.24,0.0133,,1.0
V,_NaiveModel,after_hours,1,3.23,10.433,3.23,0.0099,,1.0
WMT,_NaiveModel,after_hours,1,1.01,1.0201,1.01,0.0077,,1.0
XOM,_NaiveModel,after_hours,1,5.14,26.4196,5.14,0.0325,,1.0
