ticker,model,event_type,rows,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,no_event_day,1,11.36,129.0493,11.36,0.0341,,1.0
AMD,_NaiveModel,no_event_day,1,17.74,314.7073,17.74,0.034,,1.0
AMZN,_NaiveModel,no_event_day,1,1.55,2.4025,1.55,0.0067,,1.0
ASML,_NaiveModel,no_event_day,1,45.91,2107.7312,45.91,0.0261,,1.0
AVGO,_NaiveModel,no_event_day,1,10.55,111.3022,10.55,0.0276,,1.0
BRK-B,_NaiveModel,no_event_day,1,4.08,16.6463,4.08,0.0082,,1.0
CAT,_NaiveModel,no_event_day,1,5.81,33.7561,5.81,0.0065,,1.0
COST,_NaiveModel,no_event_day,1,8.97,80.4615,8.97,0.0096,,1.0
CRM,_NaiveModel,no_event_day,1,6.73,45.293,6.73,0.0411,,1.0
GOOGL,_NaiveModel,no_event_day,1,2.05,4.2024,2.05,0.0064,,1.0
JNJ,_NaiveModel,no_event_day,1,4.13,17.0569,4.13,0.0157,,1.0
JPM,_NaiveModel,no_event_day,1,3.31,10.9561,3.31,0.0094,,1.0
LLY,_NaiveModel,no_event_day,1,10.16,103.2263,10.16,0.0085,,1.0
LMT,_NaiveModel,no_event_day,1,14.0099,196.2787,14.0099,0.024,,1.0
MA,_NaiveModel,no_event_day,1,9.37,87.7968,9.37,0.0174,,1.0
MCD,_NaiveModel,no_event_day,1,1.96,3.8417,1.96,0.0074,,1.0
META,_NaiveModel,no_event_day,1,10.91,119.0275,10.91,0.0183,,1.0
MRK,_NaiveModel,no_event_day,1,0.59,0.3481,0.59,0.0045,,1.0
MSFT,_NaiveModel,no_event_day,1,0.12,0.0144,0.12,0.0003,,1.0
NEE,_NaiveModel,no_event_day,1,0.01,0.0001,0.01,0.0001,,1.0
NVDA,_NaiveModel,no_event_day,1,1.92,3.6864,1.92,0.0093,,1.0
ORCL,_NaiveModel,no_event_day,1,5.05,25.5025,5.05,0.0439,,1.0
PG,_NaiveModel,no_event_day,1,0.44,0.1936,0.44,0.003,,1.0
PLTR,_NaiveModel,no_event_day,1,0.45,0.2025,0.45,0.0037,,1.0
TSLA,_NaiveModel,no_event_day,1,6.66,44.3556,6.66,0.0213,,1.0
TSM,_NaiveModel,no_event_day,1,12.17,148.1085,12.17,0.0302,,1.0
UNH,_NaiveModel,no_event_day,1,2.82,7.9524,2.82,0.0067,,1.0
V,_NaiveModel,no_event_day,1,4.14,17.1395,4.14,0.0116,,1.0
WMT,_NaiveModel,no_event_day,1,1.07,1.1449,1.07,0.0098,,1.0
XOM,_NaiveModel,no_event_day,1,0.05,0.0025,0.05,0.0003,,1.0
