ticker,model,pred,real,timestamp,pred_delta,real_delta,pred_inc,real_inc,direction,Predicted,is_earnings_day,is_macro_day,MAE,MSE,RMSE,MAPE,R2,EVS
AAPL,_NaiveModel,309.8999938964844,313.45001220703125,2026-08-26 00:00:00,0.0,3.550018310546875,0.0,0.011455367474878636,False,2026-08-26,False,False,3.55,12.6026,3.55,0.0113,,1.0
AMD,_NaiveModel,479.1799926757813,480.9299926757813,2026-08-26 00:00:00,0.0,1.75,0.0,0.0036520723459839235,False,2026-08-26,False,False,1.75,3.0625,1.75,0.0036,,1.0
AMZN,_NaiveModel,261.0599975585937,260.2799987792969,2026-08-26 00:00:00,0.0,-0.7799987792968182,0.0,-0.002987814244201665,False,2026-08-26,False,False,0.78,0.6084,0.78,0.003,,1.0
ASML,_NaiveModel,1744.1600341796875,1745.6400146484375,2026-08-26 00:00:00,0.0,1.47998046875,0.0,0.000848534790241346,False,2026-08-26,False,False,1.48,2.1903,1.48,0.0008,,1.0
AVGO,_NaiveModel,356.739990234375,355.5899963378906,2026-08-26 00:00:00,0.0,-1.149993896484375,0.0,-0.0032236192408057174,False,2026-08-26,False,False,1.15,1.3225,1.15,0.0032,,1.0
BRK-B,_NaiveModel,504.3200073242188,504.9100036621094,2026-08-26 00:00:00,0.0,0.5899963378905682,0.0,0.0011698848535098261,False,2026-08-26,False,False,0.59,0.3481,0.59,0.0012,,1.0
CAT,_NaiveModel,811.2899780273438,821.9299926757812,2026-08-26 00:00:00,0.0,10.6400146484375,0.0,0.013114934162392535,False,2026-08-26,False,False,10.64,113.2099,10.64,0.0129,,1.0
COST,_NaiveModel,960.010009765625,956.1199951171876,2026-08-26 00:00:00,0.0,-3.8900146484373863,0.0,-0.0040520563419824,False,2026-08-26,False,False,3.89,15.1322,3.89,0.0041,,1.0
CRM,_NaiveModel,205.69000244140625,205.6199951171875,2026-08-26 00:00:00,0.0,-0.07000732421875,0.0,-0.00034035355820802516,False,2026-08-26,False,False,0.07,0.0049,0.07,0.0003,,1.0
GOOGL,_NaiveModel,346.9599914550781,342.0,2026-08-26 00:00:00,0.0,-4.959991455078125,0.0,-0.014295571758221895,False,2026-08-26,False,False,4.96,24.6015,4.96,0.0145,,1.0
JNJ,_NaiveModel,273.1400146484375,270.0,2026-08-26 00:00:00,0.0,-3.1400146484375,0.0,-0.011495989163210154,False,2026-08-26,False,False,3.14,9.8597,3.14,0.0116,,1.0
JPM,_NaiveModel,356.69000244140625,356.5,2026-08-26 00:00:00,0.0,-0.19000244140625,0.0,-0.0005326822734188124,False,2026-08-26,False,False,0.19,0.0361,0.19,0.0005,,1.0
LLY,_NaiveModel,1233.6600341796875,1189.4100341796875,2026-08-26 00:00:00,0.0,-44.25,0.0,-0.03586887697908094,False,2026-08-26,False,False,44.25,1958.0625,44.25,0.0372,,1.0
