model,dataset,MAE,MSE,RMSE,MAPE,R2,EVS,run_date
EEM_linreg,train,0.3224,0.2044,0.4521,0.0076,0.9338,0.9338,2025-07-05T05:25:28.785464+00:00
EEM_linreg,test,0.2634,0.0997,0.3158,0.0054,-1.0931,-0.9035,2025-07-05T05:25:28.785464+00:00
EEM_rf,train,0.1908,0.0627,0.2504,0.0045,0.9797,0.9797,2025-07-05T05:25:28.785464+00:00
EEM_rf,test,0.8428,0.8173,0.904,0.0174,-16.1496,-1.2455,2025-07-05T05:25:28.785464+00:00
EEM_xgb,train,0.0905,0.0143,0.1196,0.0021,0.9954,0.9954,2025-07-05T05:25:28.785464+00:00
EEM_xgb,test,0.8826,0.9967,0.9983,0.0182,-19.9137,-3.5665,2025-07-05T05:25:28.785464+00:00
EEM_lgbm,train,0.0778,0.0122,0.1106,0.0018,0.996,0.996,2025-07-05T05:25:28.785464+00:00
EEM_lgbm,test,1.4489,2.491,1.5783,0.0299,-51.271,-7.2194,2025-07-05T05:25:28.785464+00:00
EEM_arima,train,0.3567,0.2538,0.5037,0.0083,0.9179,0.9179,2025-07-05T05:25:28.785464+00:00
EEM_arima,test,1.5845,2.6673,1.6332,0.0328,-54.9703,-2.2848,2025-07-05T05:25:28.785464+00:00
GLD_linreg,train,2.2953,9.6657,3.109,0.0088,0.9894,0.9894,2025-07-05T05:25:28.785464+00:00
GLD_linreg,test,2.446,9.5938,3.0974,0.008,-0.4763,-0.4644,2025-07-05T05:25:28.785464+00:00
GLD_rf,train,2.5586,10.4978,3.24,0.0101,0.9885,0.9885,2025-07-05T05:25:28.785464+00:00
GLD_rf,test,2.0264,8.6388,2.9392,0.0067,-0.3293,0.0251,2025-07-05T05:25:28.785464+00:00
GLD_xgb,train,1.5125,4.1678,2.0415,0.0059,0.9954,0.9954,2025-07-05T05:25:28.785464+00:00
GLD_xgb,test,2.4165,9.2765,3.0457,0.0079,-0.4275,-0.3982,2025-07-05T05:25:28.785464+00:00
GLD_lgbm,train,2.1421,7.8808,2.8073,0.0083,0.9913,0.9913,2025-07-05T05:25:28.785464+00:00
GLD_lgbm,test,2.2392,9.8666,3.1411,0.0074,-0.5183,-0.1863,2025-07-05T05:25:28.785464+00:00
GLD_lstm,train,209.7711,44605.4448,211.2,0.8235,-48.0036,0.3392,2025-07-05T05:25:28.785464+00:00
GLD_lstm,test,251.3141,63164.761,251.326,0.8209,-9718.7741,0.0825,2025-07-05T05:25:28.785464+00:00
