model,dataset,MAE,MSE,RMSE,MAPE,R2,EVS,run_date,ABT Window,Train Window,Test Window,Predict Date
BIMBOA.MX_linreg,train,0.9183,1.5666,1.2516,0.0147,0.9525,0.9525,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
BIMBOA.MX_linreg,test,0.5755,0.6525,0.8078,0.0107,0.8846,0.9097,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
BIMBOA.MX_rf,train,0.8732,1.4105,1.1876,0.014,0.9572,0.9572,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
BIMBOA.MX_rf,test,0.5266,0.594,0.7707,0.0097,0.895,0.9076,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
BIMBOA.MX_xgb,train,0.8895,1.4981,1.224,0.0143,0.9546,0.9546,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
BIMBOA.MX_xgb,test,0.5033,0.545,0.7383,0.0093,0.9036,0.9104,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
BIMBOA.MX_lgbm,train,0.8791,1.4578,1.2074,0.0141,0.9558,0.9558,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
BIMBOA.MX_lgbm,test,0.4988,0.5427,0.7367,0.0092,0.904,0.9119,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
BIMBOA.MX_lstm,train,1.0429,1.8933,1.376,0.0167,0.9426,0.9501,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
BIMBOA.MX_lstm,test,0.6358,0.6351,0.7969,0.0119,0.8877,0.91,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
BIMBOA.MX_arima,train,0.9268,1.6422,1.2815,0.0148,0.9502,0.9502,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
BIMBOA.MX_arima,test,0.5085,0.5361,0.7322,0.0095,0.9052,0.9084,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
CEMEXCPO.MX_linreg,train,0.1917,0.07,0.2645,0.0162,0.8612,0.8612,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
CEMEXCPO.MX_linreg,test,0.1641,0.0435,0.2085,0.0124,0.5912,0.6823,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
CEMEXCPO.MX_rf,train,0.1834,0.063,0.2511,0.0155,0.8749,0.8749,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
CEMEXCPO.MX_rf,test,0.1512,0.0371,0.1927,0.0115,0.651,0.6662,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
CEMEXCPO.MX_xgb,train,0.1855,0.0655,0.2559,0.0157,0.8701,0.8701,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
CEMEXCPO.MX_xgb,test,0.1448,0.0347,0.1862,0.011,0.6742,0.6867,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
CEMEXCPO.MX_lgbm,train,0.18,0.0619,0.2487,0.0152,0.8772,0.8772,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
CEMEXCPO.MX_lgbm,test,0.1485,0.0344,0.1854,0.0113,0.6769,0.6931,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
CEMEXCPO.MX_lstm,train,0.341,0.171,0.4135,0.0289,0.6607,0.6608,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
CEMEXCPO.MX_lstm,test,0.335,0.1393,0.3732,0.0254,-0.3094,-0.2926,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
CEMEXCPO.MX_arima,train,0.198,0.0745,0.2729,0.0168,0.8522,0.8522,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
CEMEXCPO.MX_arima,test,0.1452,0.0351,0.1873,0.011,0.6704,0.6752,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
EEM_linreg,train,0.3528,0.2373,0.4872,0.0082,0.8772,0.8772,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
EEM_linreg,test,0.4706,0.3253,0.5704,0.01,0.6734,0.8562,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
EEM_rf,train,0.3519,0.2354,0.4852,0.0081,0.8782,0.8782,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
EEM_rf,test,0.2979,0.1574,0.3968,0.0064,0.842,0.8736,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
EEM_xgb,train,0.3411,0.2316,0.4812,0.0079,0.8802,0.8802,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
EEM_xgb,test,0.2752,0.1442,0.3798,0.0059,0.8552,0.8728,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
EEM_lgbm,train,0.3527,0.2452,0.4952,0.0082,0.8731,0.8731,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
EEM_lgbm,test,0.2747,0.1436,0.3789,0.0059,0.8559,0.8715,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
EEM_lstm,train,0.8068,0.8635,0.9293,0.0186,0.5531,0.8569,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
EEM_lstm,test,0.8672,0.8786,0.9373,0.0185,0.118,0.8729,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
EEM_arima,train,0.3745,0.2765,0.5258,0.0087,0.8569,0.8569,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
EEM_arima,test,0.2653,0.137,0.3702,0.0057,0.8625,0.8728,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
GFNORTEO.MX_linreg,train,2.337,9.6598,3.108,0.016,0.8544,0.8544,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
GFNORTEO.MX_linreg,test,4.5404,24.3166,4.9312,0.0263,-1.8362,0.5682,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
GFNORTEO.MX_rf,train,2.2354,9.2243,3.0372,0.0153,0.861,0.8611,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
GFNORTEO.MX_rf,test,2.1746,7.3067,2.7031,0.0126,0.1478,0.4541,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
GFNORTEO.MX_xgb,train,2.2712,9.6239,3.1022,0.0156,0.855,0.855,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
GFNORTEO.MX_xgb,test,1.8742,5.3376,2.3103,0.0109,0.3775,0.4432,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
GFNORTEO.MX_lgbm,train,2.3182,10.1141,3.1803,0.0159,0.8476,0.8476,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
GFNORTEO.MX_lgbm,test,1.8628,5.3862,2.3208,0.0108,0.3718,0.4328,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
GFNORTEO.MX_lstm,train,2.4394,11.2784,3.3583,0.0167,0.8301,0.8307,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
GFNORTEO.MX_lstm,test,1.7888,4.9635,2.2279,0.0104,0.4211,0.4233,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
GFNORTEO.MX_arima,train,2.4276,11.1358,3.337,0.0166,0.8322,0.8322,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
GFNORTEO.MX_arima,test,1.7131,4.5341,2.1293,0.0099,0.4712,0.4843,2025-07-06T17:06:58.911585+00:00,2024-05-16 a 2025-07-03,2024-05-16 a 2025-05-07,2025-05-08 a 2025-07-03,2025-07-03
GLD_linreg,train,2.0705,7.3041,2.7026,0.0082,0.9884,0.9884,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
GLD_linreg,test,3.1562,16.5503,4.0682,0.0104,0.3401,0.4411,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
GLD_rf,train,1.9781,6.8699,2.621,0.0079,0.9891,0.9891,2025-07-06T17:06:58.911585+00:00,2024-05-15 a 2025-07-02,2024-05-15 a 2025-05-06,2025-05-07 a 2025-07-02,2025-07-02
