model,dataset,MAE,MSE,RMSE,MAPE,R2,EVS,run_date,ABT Window,Train Window,Test Window,Predict Date,retrained
BIMBOA.MX_linreg,train,0.6409,0.7809,0.8837,0.0109,0.9782,0.9782,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
BIMBOA.MX_linreg,test,1.2206,2.1104,1.4527,0.021,0.8593,0.9132,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
BIMBOA.MX_linreg,train,0.6999,0.9249,0.9617,0.0119,0.9742,0.9742,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,1
BIMBOA.MX_linreg,test,0.6579,0.6595,0.8121,0.0111,0.956,0.9622,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,1
BIMBOA.MX_rf,train,0.6821,0.8849,0.9407,0.0115,0.9753,0.9753,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
BIMBOA.MX_rf,test,0.6318,0.7209,0.8491,0.0104,0.9519,0.9652,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
BIMBOA.MX_rf,train,0.6896,0.8643,0.9297,0.0116,0.9759,0.9759,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,1
BIMBOA.MX_rf,test,0.5644,0.6135,0.7833,0.0094,0.9591,0.9667,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,1
BIMBOA.MX_xgb,train,0.4086,0.2996,0.5474,0.007,0.9916,0.9916,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
BIMBOA.MX_xgb,test,0.7712,1.0222,1.0111,0.0128,0.9319,0.9473,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
BIMBOA.MX_xgb,train,0.6097,0.6902,0.8308,0.0103,0.9807,0.9807,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,1
BIMBOA.MX_xgb,test,0.5408,0.5417,0.736,0.009,0.9639,0.9671,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,1
BIMBOA.MX_lgbm,train,0.4786,0.4327,0.6578,0.0081,0.9879,0.9879,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
BIMBOA.MX_lgbm,test,0.8363,1.2023,1.0965,0.0139,0.9199,0.937,2025-10-01T01:53:58.444024+00:00,2024-08-13 a 2025-09-26,2024-08-13 a 2025-07-31,2025-08-01 a 2025-09-26,2025-09-26,0
