date,ticker,best_model,strategy_score,action,ret_1d,ret_5d,ret_20d,result_5d,pred_ARIMAModel,pred_LGBMRegressor,pred_LSTM,pred_RandomForestRegressor,pred_Ridge,pred_XGBRegressor,pred__NaiveModel
2026-06-23,AAPL,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,AMD,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,AMZN,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,ASML,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,AVGO,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,BRK-B,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,CAT,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,COST,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,CRM,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,GOOGL,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,JNJ,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,JPM,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,LLY,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,LMT,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,MA,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,MCD,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,META,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,MRK,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,MSFT,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,NEE,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,NVDA,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,ORCL,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,PG,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,PLTR,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,TSLA,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,TSM,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,UNH,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,V,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,WMT,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-23,XOM,_NaiveModel,0.0,HOLD,N/D,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,AAPL,_NaiveModel,0.0,HOLD,-0.34%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,AMD,_NaiveModel,0.0,HOLD,2.65%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,AMZN,_NaiveModel,0.0,HOLD,-4.75%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,ASML,_NaiveModel,0.0,HOLD,-0.02%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,AVGO,_NaiveModel,0.0,HOLD,-4.67%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,BRK-B,_NaiveModel,0.0,HOLD,-0.16%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,CAT,_NaiveModel,0.0,HOLD,3.70%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,COST,_NaiveModel,0.0,HOLD,-0.01%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,CRM,_NaiveModel,0.0,HOLD,-1.09%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,GOOGL,_NaiveModel,0.0,HOLD,-4.99%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,JNJ,_NaiveModel,0.0,HOLD,1.27%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,JPM,_NaiveModel,0.0,HOLD,1.92%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,LLY,_NaiveModel,0.0,HOLD,0.32%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,LMT,_NaiveModel,0.0,HOLD,-3.40%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,MA,_NaiveModel,0.0,HOLD,-1.16%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,MCD,_NaiveModel,0.0,HOLD,-3.05%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,META,_NaiveModel,0.0,HOLD,-2.32%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,MRK,_NaiveModel,0.0,HOLD,1.41%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,MSFT,_NaiveModel,0.0,HOLD,-3.18%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,NEE,_NaiveModel,0.0,HOLD,-0.77%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,NVDA,_NaiveModel,0.0,HOLD,-0.97%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,ORCL,_NaiveModel,0.0,HOLD,-5.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,PG,_NaiveModel,0.0,HOLD,-1.80%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,PLTR,_NaiveModel,0.0,HOLD,-6.98%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,TSLA,_NaiveModel,0.0,HOLD,1.14%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,TSM,_NaiveModel,0.0,HOLD,1.20%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,UNH,_NaiveModel,0.0,HOLD,1.43%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,V,_NaiveModel,0.0,HOLD,-0.20%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,WMT,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-22,XOM,_NaiveModel,0.0,HOLD,0.48%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,AAPL,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,AMD,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,AMZN,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,ASML,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,AVGO,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,BRK-B,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,CAT,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,COST,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,CRM,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,GOOGL,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,JNJ,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,JPM,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,LLY,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,LMT,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,MA,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,MCD,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,META,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,MRK,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,MSFT,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,NEE,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,NVDA,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,ORCL,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,PG,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,PLTR,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,TSLA,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,TSM,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,UNH,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,V,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,WMT,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-21,XOM,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-20,AAPL,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-20,AMD,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-20,AMZN,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-20,ASML,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-20,AVGO,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-20,BRK-B,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-20,CAT,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-20,COST,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-20,CRM,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-20,GOOGL,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
2026-06-20,JNJ,_NaiveModel,0.0,HOLD,0.00%,N/D,N/D,Pendiente,-,-,-,-,-,-,NEUTRO
