model,feature,importance_mean,importance_std,importance_mean_minus_std,used_in_retrain,run_date
BIMBOA.MX_lgbm,stoch_signal,0.025038255683594,0.0131907983407418,0.0118474573428522,1,2025-07-12T04:27:15.900613+00:00
BIMBOA.MX_lgbm,kurt_10,0.0127183500185287,0.0046899356577888,0.0080284143607398,1,2025-07-12T04:27:15.900613+00:00
BIMBOA.MX_lgbm,norm_band_10,0.0116302567392506,0.0141301824430141,-0.0024999257037635,1,2025-07-12T04:27:15.900613+00:00
BIMBOA.MX_lgbm,std_20,0.0037679477791425,0.0017408583046028,0.0020270894745396,1,2025-07-12T04:27:15.900613+00:00
BIMBOA.MX_lgbm,stl_seasonal_30,0.0035707484079997,0.00324695262367,0.0003237957843297,1,2025-07-12T04:27:15.900613+00:00
BIMBOA.MX_linreg,max_5,0.3184659268023968,0.0738401025368036,0.2446258242655932,1,2025-07-12T04:27:15.900613+00:00
BIMBOA.MX_linreg,close_lag_14,0.3122471548620324,0.0798594928038719,0.2323876620581604,1,2025-07-12T04:27:15.900613+00:00
BIMBOA.MX_linreg,max_20,0.297680363618532,0.0779024380331064,0.2197779255854255,1,2025-07-12T04:27:15.900613+00:00
BIMBOA.MX_linreg,q25_10,0.1539349701893524,0.0459145472697461,0.1080204229196063,1,2025-07-12T04:27:15.900613+00:00
BIMBOA.MX_linreg,median_20,0.1409774822915356,0.0567324404044029,0.0842450418871326,1,2025-07-12T04:27:15.900613+00:00
BIMBOA.MX_rf,norm_band_5,0.0048131550028567,0.0013259393930363,0.0034872156098204,1,2025-07-12T04:27:15.900613+00:00
BIMBOA.MX_rf,bb_width,0.0031628661051952,0.0031280244679287,3.4841637266546256e-05,1,2025-07-12T04:27:15.900613+00:00
BIMBOA.MX_rf,kurt_10,0.0026271237146403,0.0014741248852536,0.0011529988293866,1,2025-07-12T04:27:15.900613+00:00
BIMBOA.MX_rf,norm_band_20,0.0021328411569932,0.0006032782057218,0.0015295629512714,1,2025-07-12T04:27:15.900613+00:00
BIMBOA.MX_rf,stl_seasonal_30,0.0020704542645053,0.0040018493835638,-0.0019313951190585,1,2025-07-12T04:27:15.900613+00:00
BIMBOA.MX_xgb,stoch_signal,0.0138444724515442,0.0086248300394489,0.0052196424120953,1,2025-07-12T04:27:15.900613+00:00
BIMBOA.MX_xgb,Volume,0.0135419270114565,0.0083969728327506,0.0051449541787059,1,2025-07-12T04:27:15.900613+00:00
BIMBOA.MX_xgb,cos_quarter,0.0101328826941003,0.0103660455668645,-0.0002331628727641,1,2025-07-12T04:27:15.900613+00:00
BIMBOA.MX_xgb,macd_diff,0.0100520266174543,0.0066325055129562,0.003419521104498,1,2025-07-12T04:27:15.900613+00:00
BIMBOA.MX_xgb,stl_seasonal_30,0.0076644661450167,0.0019549500425786,0.005709516102438,1,2025-07-12T04:27:15.900613+00:00
CEMEXCPO.MX_lgbm,stoch_signal,0.0116642431394831,0.002018806692291,0.0096454364471921,1,2025-07-12T04:27:15.900613+00:00
