ticker,Top3Ensamble,arima,lgbm,linreg,rf,xgb,_NaiveModel
AAPL,40.0,40.0,40.0,40.0,40.0,60.0,0.0
AMD,40.0,40.0,20.0,40.0,40.0,40.0,0.0
ASML,20.0,20.0,40.0,20.0,20.0,20.0,0.0
AVGO,40.0,40.0,60.0,40.0,40.0,40.0,0.0
BRK-B,40.0,40.0,40.0,40.0,40.0,40.0,0.0
COST,20.0,80.0,20.0,20.0,80.0,20.0,0.0
GOOGL,40.0,40.0,40.0,40.0,40.0,40.0,0.0
LLY,40.0,60.0,20.0,60.0,40.0,20.0,0.0
LMT,40.0,40.0,40.0,60.0,40.0,40.0,0.0
MRK,40.0,60.0,20.0,40.0,40.0,40.0,0.0
MSFT,40.0,40.0,40.0,40.0,40.0,40.0,0.0
NEE,20.0,60.0,20.0,20.0,20.0,20.0,0.0
NVDA,40.0,40.0,60.0,60.0,40.0,60.0,5.172413793103448
ORCL,60.0,20.0,20.0,80.0,60.0,40.0,3.4482758620689653
PLTR,40.0,40.0,40.0,40.0,40.0,40.0,0.0
TSLA,60.0,40.0,60.0,60.0,60.0,40.0,0.0
TSM,40.0,40.0,60.0,100.0,60.0,20.0,0.0
UNH,40.0,40.0,40.0,40.0,40.0,40.0,0.0
WMT,20.0,80.0,20.0,20.0,20.0,20.0,0.0
XOM,40.0,60.0,60.0,40.0,40.0,40.0,0.0
