ticker,model,pred,real,timestamp,pred_delta,real_delta,pred_inc,real_inc,direction,Predicted,is_earnings_day,is_macro_day,MAE,MSE,RMSE,MAPE,R2,EVS,residual
AAPL,_NaiveModel,333.739990234375,326.5899963378906,2026-07-20 00:00:00,0.0,-7.149993896484375,0.0,-0.0214238452259292,False,2026-07-20,False,False,7.15,51.1224,7.15,0.0219,,1.0,7.149993896484375
AMD,_NaiveModel,495.760009765625,503.5700073242188,2026-07-20 00:00:00,0.0,7.809997558593807,0.0,0.015753585212099,False,2026-07-20,False,False,7.81,60.9961,7.81,0.0155,,1.0,-7.809997558593807
AMZN,_NaiveModel,247.22999572753903,249.9900054931641,2026-07-20 00:00:00,0.0,2.760009765625057,0.0,0.0111637334195755,False,2026-07-20,False,False,2.76,7.6177,2.76,0.011,,1.0,-2.760009765625057
ASML,_NaiveModel,1747.5799560546875,1739.02001953125,2026-07-20 00:00:00,0.0,-8.5599365234375,0.0,-0.00489816588579,False,2026-07-20,False,False,8.5599,73.2725,8.5599,0.0049,,1.0,8.5599365234375
AVGO,_NaiveModel,370.8299865722656,378.1600036621094,2026-07-20 00:00:00,0.0,7.33001708984375,0.0,0.0197665166120952,False,2026-07-20,False,False,7.33,53.7292,7.33,0.0194,,1.0,-7.33001708984375
BRK-B,_NaiveModel,490.9100036621094,491.25,2026-07-20 00:00:00,0.0,0.339996337890625,0.0,0.0006925838450109,False,2026-07-20,False,False,0.34,0.1156,0.34,0.0007,,1.0,-0.339996337890625
CAT,_NaiveModel,880.280029296875,864.2999877929688,2026-07-20 00:00:00,0.0,-15.98004150390625,0.0,-0.0181533613987248,False,2026-07-20,False,False,15.98,255.3617,15.98,0.0185,,1.0,15.98004150390625
COST,_NaiveModel,940.8699951171876,935.7999877929688,2026-07-20 00:00:00,0.0,-5.070007324218864,0.0,-0.0053886374850197,False,2026-07-20,False,False,5.07,25.705,5.07,0.0054,,1.0,5.070007324218864
CRM,_NaiveModel,170.77000427246094,173.7899932861328,2026-07-20 00:00:00,0.0,3.019989013671875,0.0,0.0176845402477915,False,2026-07-20,False,False,3.02,9.1203,3.02,0.0174,,1.0,-3.019989013671875
GOOGL,_NaiveModel,346.7699890136719,351.989990234375,2026-07-20 00:00:00,0.0,5.220001220703125,0.0,0.0150532092916994,False,2026-07-20,False,False,5.22,27.2484,5.22,0.0148,,1.0,-5.220001220703125
JNJ,_NaiveModel,253.0399932861328,248.82000732421875,2026-07-20 00:00:00,0.0,-4.219985961914063,0.0,-0.0166771501497084,False,2026-07-20,False,False,4.22,17.8083,4.22,0.017,,1.0,4.2199859619140625
JPM,_NaiveModel,341.1000061035156,338.8699951171875,2026-07-20 00:00:00,0.0,-2.230010986328125,0.0,-0.0065377043284231,False,2026-07-20,False,False,2.23,4.9729,2.23,0.0066,,1.0,2.230010986328125
LLY,_NaiveModel,1179.1099853515625,1146.9000244140625,2026-07-20 00:00:00,0.0,-32.2099609375,0.0,-0.0273171810413396,False,2026-07-20,False,False,32.21,1037.4816,32.21,0.0281,,1.0,32.2099609375
LMT,_NaiveModel,508.7699890136719,509.5400085449219,2026-07-20 00:00:00,0.0,0.77001953125,0.0,0.0015134924383861,False,2026-07-20,False,False,0.77,0.5929,0.77,0.0015,,1.0,-0.77001953125
MA,_NaiveModel,543.5999755859375,547.4400024414062,2026-07-20 00:00:00,0.0,3.84002685546875,0.0,0.0070640673803004,False,2026-07-20,False,False,3.84,14.7458,3.84,0.007,,1.0,-3.84002685546875
MCD,_NaiveModel,267.7099914550781,267.6400146484375,2026-07-20 00:00:00,0.0,-0.069976806640625,0.0,-0.000261390343559,False,2026-07-20,False,False,0.07,0.0049,0.07,0.0003,,1.0,0.069976806640625
META,_NaiveModel,646.010009765625,645.8499755859375,2026-07-20 00:00:00,0.0,-0.1600341796875,0.0,-0.0002477270897792,False,2026-07-20,False,False,0.16,0.0256,0.16,0.0002,,1.0,0.1600341796875
MRK,_NaiveModel,127.5,124.4000015258789,2026-07-20 00:00:00,0.0,-3.0999984741210938,0.0,-0.0243137135225183,False,2026-07-20,False,False,3.1,9.61,3.1,0.0249,,1.0,3.0999984741210938
MSFT,_NaiveModel,393.8200073242188,402.2900085449219,2026-07-20 00:00:00,0.0,8.470001220703068,0.0,0.0215072902929738,False,2026-07-20,False,False,8.47,71.7409,8.47,0.0211,,1.0,-8.470001220703068
NEE,_NaiveModel,88.80000305175781,88.0,2026-07-20 00:00:00,0.0,-0.8000030517578125,0.0,-0.0090090430660404,False,2026-07-20,False,False,0.8,0.64,0.8,0.0091,,1.0,0.8000030517578125
NVDA,_NaiveModel,202.8099975585937,203.27999877929688,2026-07-20 00:00:00,-2.8421709430404014e-14,0.4700012207031534,-1.4013958765613963e-16,0.00231744601529,False,2026-07-20,False,False,0.47,0.2209,0.47,0.0023,,1.0,-0.47000122070318184
ORCL,_NaiveModel,126.41000366210938,121.37999725341795,2026-07-20 00:00:00,0.0,-5.0300064086914205,0.0,-0.0397912053079002,False,2026-07-20,False,False,5.03,25.301,5.03,0.0414,,1.0,5.0300064086914205
PG,_NaiveModel,149.97999572753906,149.1300048828125,2026-07-20 00:00:00,0.0,-0.8499908447265625,0.0,-0.0056673614411264,False,2026-07-20,False,False,0.85,0.7225,0.85,0.0057,,1.0,0.8499908447265625
PLTR,_NaiveModel,132.3800048828125,134.85000610351562,2026-07-20 00:00:00,0.0,2.470001220703125,0.0,0.0186584161474359,False,2026-07-20,False,False,2.47,6.1009,2.47,0.0183,,1.0,-2.470001220703125
TSLA,_NaiveModel,380.8399963378906,369.5700073242188,2026-07-20 00:00:00,0.0,-11.269989013671818,0.0,-0.0295924512184713,False,2026-07-20,False,False,11.27,127.0127,11.27,0.0305,,1.0,11.269989013671818
TSM,_NaiveModel,398.3699951171875,402.2999877929688,2026-07-20 00:00:00,0.0,3.929992675781307,0.0,0.009865182428273,False,2026-07-20,False,False,3.93,15.4448,3.93,0.0098,,1.0,-3.929992675781307
UNH,_NaiveModel,426.0899963378906,421.5499877929688,2026-07-20 00:00:00,0.0,-4.540008544921818,0.0,-0.0106550460793301,False,2026-07-20,False,False,4.54,20.6117,4.54,0.0108,,1.0,4.540008544921818
V,_NaiveModel,358.5599975585937,360.5700073242188,2026-07-20 00:00:00,0.0,2.0100097656251137,0.0,0.0056057836326168,False,2026-07-20,False,False,2.01,4.0401,2.01,0.0056,,1.0,-2.0100097656251137
WMT,_NaiveModel,114.23999786376952,112.1999969482422,2026-07-20 00:00:00,0.0,-2.0400009155273158,0.0,-0.0178571512051322,False,2026-07-20,False,False,2.04,4.1616,2.04,0.0182,,1.0,2.0400009155273153
XOM,_NaiveModel,147.36000061035156,148.36000061035156,2026-07-20 00:00:00,0.0,1.0,0.0,0.0067861020348676,False,2026-07-20,False,False,1.0,1.0,1.0,0.0067,,1.0,-1.0
AAPL,_NaiveModel,333.260009765625,333.739990234375,2026-07-17 00:00:00,0.0,0.47998046875,0.0,0.0014402582208635,False,2026-07-17,False,False,0.48,0.2304,0.48,0.0014,,1.0,-0.47998046875
AMD,_NaiveModel,500.9400024414063,495.760009765625,2026-07-17 00:00:00,0.0,-5.179992675781307,0.0,-0.0103405450763281,False,2026-07-17,False,False,5.18,26.8323,5.18,0.0104,,1.0,5.179992675781307
