Predicted,model,MAE
2025-11-27,Top3Ensamble,0.360925
2025-11-27,arima,0.2784
2025-11-27,lgbm,0.0846
2025-11-27,rf,0.5780666666666666
2025-11-27,xgb,0.2063
2025-11-28,Top3Ensamble,1.908875
2025-11-28,arima,0.47619999999999996
2025-11-28,lgbm,0.6521
2025-11-28,rf,4.226500000000001
2025-11-28,xgb,1.1994666666666667
2025-12-01,xgb,2.1528
2025-12-01,rf,2.6720111111111113
2025-12-01,Top3Ensamble,1.8496400000000002
2025-12-01,arima,1.2644666666666666
2025-12-01,lgbm,0.7355499999999999
2025-12-02,Top3Ensamble,1.7011399999999999
2025-12-02,arima,1.0048333333333332
2025-12-02,lgbm,3.5532000000000004
2025-12-02,rf,1.378111111111111
2025-12-02,xgb,2.3299857142857143
2025-12-03,xgb,1.6109142857142857
2025-12-03,lgbm,1.4868000000000001
2025-12-03,rf,1.0368111111111111
2025-12-03,Top3Ensamble,0.9575400000000001
2025-12-03,arima,0.4622
2025-12-04,Top3Ensamble,0.6241399999999999
2025-12-04,arima,0.37220000000000003
2025-12-04,lgbm,0.716275
2025-12-04,rf,0.6328777777777778
2025-12-04,xgb,1.151857142857143
2025-12-05,xgb,1.2588571428571427
2025-12-05,lgbm,2.578325
2025-12-05,rf,1.1301444444444444
2025-12-05,Top3Ensamble,1.0885
2025-12-05,arima,0.5294
2025-12-08,Top3Ensamble,0.99106
2025-12-08,arima,1.0193666666666668
2025-12-08,lgbm,1.1545
2025-12-08,rf,1.054311111111111
2025-12-08,xgb,1.0859714285714286
2025-12-09,rf,0.7908000000000001
2025-12-09,Top3Ensamble,0.67313
2025-12-09,arima,0.7728
2025-12-09,lgbm,0.8948750000000001
2025-12-09,xgb,1.0444285714285715
2025-12-10,xgb,2.1754857142857142
2025-12-10,lgbm,1.165875
2025-12-10,rf,1.591122222222222
2025-12-10,arima,0.9673000000000002
2025-12-10,Top3Ensamble,1.38799
2025-12-11,Top3Ensamble,1.77271
2025-12-11,arima,0.8188666666666666
2025-12-11,lgbm,0.64105
2025-12-11,rf,2.032888888888889
2025-12-11,xgb,2.912985714285714
2025-12-15,Top3Ensamble,1.5214
2025-12-15,arima,0.7858999999999999
2025-12-15,lgbm,2.2363333333333335
2025-12-15,rf,1.3422166666666666
2025-12-15,xgb,2.3875
2025-12-16,xgb,1.9800714285714285
2025-12-16,rf,1.6571555555555557
2025-12-16,Top3Ensamble,1.57473
2025-12-16,arima,0.9856833333333332
2025-12-16,lgbm,0.59385
2025-12-17,Top3Ensamble,3.1083100000000004
2025-12-17,arima,2.2612666666666663
2025-12-17,lgbm,3.819
2025-12-17,rf,3.4932666666666665
2025-12-17,xgb,4.020314285714286
2025-12-18,rf,2.2974666666666668
2025-12-18,xgb,3.166714285714286
2025-12-18,lgbm,1.59285
2025-12-18,arima,1.1670666666666667
2025-12-18,Top3Ensamble,2.03778
2025-12-19,Top3Ensamble,1.6884899999999998
2025-12-19,arima,0.7443166666666666
2025-12-19,lgbm,3.081225
2025-12-19,rf,1.8622000000000003
2025-12-19,xgb,2.363342857142857
2025-12-22,rf,2.048288888888889
2025-12-22,lgbm,0.31855
2025-12-22,xgb,2.765557142857143
2025-12-22,Top3Ensamble,1.7083100000000002
2025-12-22,arima,2.1427833333333335
2025-12-23,Top3Ensamble,1.4684300000000001
2025-12-23,arima,1.3259666666666665
