Predicted,model,covered_tickers,coverage_pct
2026-03-23,arima,30,100.0
2026-03-23,lgbm,30,100.0
2026-03-23,linreg,30,100.0
2026-03-23,rf,30,100.0
2026-03-23,xgb,30,100.0
2026-03-24,arima,30,100.0
2026-03-24,lgbm,30,100.0
2026-03-24,linreg,30,100.0
2026-03-24,rf,30,100.0
2026-03-24,xgb,30,100.0
2026-03-25,arima,30,100.0
2026-03-25,lgbm,30,100.0
2026-03-25,linreg,30,100.0
2026-03-25,rf,30,100.0
2026-03-25,xgb,30,100.0
2026-03-26,arima,30,100.0
2026-03-26,lgbm,30,100.0
2026-03-26,linreg,30,100.0
2026-03-26,rf,30,100.0
2026-03-26,xgb,30,100.0
2026-03-27,arima,30,100.0
2026-03-27,lgbm,30,100.0
2026-03-27,linreg,30,100.0
2026-03-27,rf,30,100.0
2026-03-27,xgb,30,100.0
