Predicted,model,covered_tickers,coverage_pct
2026-05-11,_NaiveModel,30,100.0
2026-05-12,_NaiveModel,30,100.0
2026-05-13,_NaiveModel,30,100.0
2026-05-14,_NaiveModel,30,100.0
2026-05-15,_NaiveModel,30,100.0
2026-05-18,_NaiveModel,30,100.0
2026-05-19,_NaiveModel,30,100.0
2026-05-20,_NaiveModel,30,100.0
2026-05-21,_NaiveModel,30,100.0
2026-05-22,_NaiveModel,30,100.0
2026-05-25,_NaiveModel,30,100.0
2026-05-27,_NaiveModel,30,100.0
2026-05-28,_NaiveModel,30,100.0
2026-05-29,_NaiveModel,30,100.0
2026-06-01,_NaiveModel,30,100.0
2026-06-02,_NaiveModel,30,100.0
2026-06-03,_NaiveModel,30,100.0
2026-06-04,_NaiveModel,30,100.0
2026-06-05,_NaiveModel,30,100.0
2026-06-08,_NaiveModel,30,100.0
2026-06-09,_NaiveModel,30,100.0
2026-06-10,_NaiveModel,30,100.0
2026-06-12,_NaiveModel,30,100.0
2026-06-15,_NaiveModel,30,100.0
2026-06-16,_NaiveModel,30,100.0
2026-06-17,_NaiveModel,28,93.33333333333333
2026-06-18,_NaiveModel,30,100.0
2026-06-19,_NaiveModel,30,100.0
2026-06-23,_NaiveModel,30,100.0
2026-06-24,_NaiveModel,30,100.0
2026-06-25,_NaiveModel,30,100.0
2026-06-26,_NaiveModel,30,100.0
2026-06-29,_NaiveModel,30,100.0
2026-06-30,_NaiveModel,30,100.0
2026-07-01,_NaiveModel,30,100.0
2026-07-02,_NaiveModel,30,100.0
2026-07-03,_NaiveModel,30,100.0
2026-07-07,_NaiveModel,30,100.0
2026-07-08,_NaiveModel,30,100.0
2026-07-09,_NaiveModel,30,100.0
2026-07-10,_NaiveModel,30,100.0
2026-07-13,_NaiveModel,30,100.0
2026-07-14,_NaiveModel,30,100.0
2026-07-15,_NaiveModel,30,100.0
2026-07-16,_NaiveModel,30,100.0
2026-07-17,_NaiveModel,30,100.0
2026-07-20,_NaiveModel,30,100.0
2026-07-21,_NaiveModel,30,100.0
2026-07-22,_NaiveModel,30,100.0
2026-07-23,_NaiveModel,30,100.0
2026-07-24,_NaiveModel,30,100.0
2026-07-27,_NaiveModel,30,100.0
2026-07-28,_NaiveModel,30,100.0
2026-07-29,_NaiveModel,30,100.0
2026-07-30,_NaiveModel,30,100.0
2026-07-31,_NaiveModel,30,100.0
2026-08-03,_NaiveModel,30,100.0
2026-08-04,_NaiveModel,30,100.0
2026-08-05,_NaiveModel,30,100.0
2026-08-06,_NaiveModel,30,100.0
2026-08-07,_NaiveModel,30,100.0
2026-08-10,_NaiveModel,30,100.0
2026-08-11,_NaiveModel,30,100.0
2026-08-12,_NaiveModel,30,100.0
2026-08-13,_NaiveModel,30,100.0
2026-08-14,_NaiveModel,30,100.0
2026-08-17,_NaiveModel,30,100.0
2026-08-18,_NaiveModel,30,100.0
2026-08-19,_NaiveModel,30,100.0
2026-08-20,_NaiveModel,30,100.0
2026-08-21,_NaiveModel,30,100.0
2026-08-24,_NaiveModel,30,100.0
2026-08-25,_NaiveModel,30,100.0
2026-08-26,_NaiveModel,30,100.0
2026-08-27,_NaiveModel,30,100.0
2026-08-28,_NaiveModel,30,100.0
2026-08-31,_NaiveModel,30,100.0
2026-09-01,_NaiveModel,30,100.0
2026-09-02,_NaiveModel,30,100.0
2026-09-03,_NaiveModel,30,100.0
2026-09-04,_NaiveModel,30,100.0
2026-09-07,_NaiveModel,30,100.0
